"id","instanceID","type","lastSeen","onOff","color","dimmer","protocolTime"
557,65556,2,1605973261,1,"f1e0b5",49,"2020-11-21T15:41:51.000Z"
558,65556,2,1605973261,1,"f1e0b5",66,"2020-11-21T15:41:51.000Z"
559,65556,2,1605973261,1,"f1e0b5",65,"2020-11-21T15:41:51.000Z"
560,65556,2,1605973261,1,"f1e0b5",65,"2020-11-21T15:41:52.000Z"
561,65556,2,1605973261,1,"f1e0b5",56,"2020-11-21T15:41:52.000Z"
562,65556,2,1605973261,1,"f1e0b5",52,"2020-11-21T15:41:53.000Z"
563,65556,2,1605973261,1,"f1e0b5",52,"2020-11-21T15:41:53.000Z"
564,65556,2,1605973261,1,"f1e0b5",51,"2020-11-21T15:41:53.000Z"
565,65556,2,1605973261,1,"f1e0b5",49,"2020-11-21T15:41:53.000Z"
566,65556,2,1605973261,1,"f1e0b5",49,"2020-11-21T15:41:54.000Z"
567,65557,2,1605973029,0,"f1e0b5",50,"2020-11-21T15:42:10.000Z"
568,65557,2,1605973029,1,"f1e0b5",50,"2020-11-21T15:42:10.000Z"
569,65548,2,1605897874,1,"f5faf6",50,"2020-11-21T15:51:26.000Z"
570,65552,2,1605896361,1,"f1e0b5",50,"2020-11-21T15:51:26.000Z"
571,65540,2,1605969185,1,"f1e0b5",100,"2020-11-21T15:51:26.000Z"
572,65553,2,1605953580,1,"f1e0b5",50,"2020-11-21T15:51:26.000Z"
573,65554,2,1603707195,1,"f1e0b5",50,"2020-11-21T15:51:26.000Z"
574,65552,2,1605896361,1,"f1e0b5",100,"2020-11-21T15:51:31.000Z"
575,65540,2,1605969185,1,"f1e0b5",100,"2020-11-21T15:51:31.000Z"
576,65548,2,1605897874,1,"f5faf6",100,"2020-11-21T15:51:31.000Z"
577,65554,2,1603707195,1,"f1e0b5",100,"2020-11-21T15:51:31.000Z"
578,65552,2,1605896361,1,"f1e0b5",58,"2020-11-21T15:51:31.000Z"
579,65553,2,1605953580,1,"f1e0b5",100,"2020-11-21T15:51:31.000Z"
580,65553,2,1605953580,1,"f1e0b5",58,"2020-11-21T15:51:31.000Z"
581,65548,2,1605897874,1,"f5faf6",100,"2020-11-21T15:51:31.000Z"
582,65552,2,1605896361,1,"f1e0b5",100,"2020-11-21T15:51:32.000Z"
583,65553,2,1605953580,1,"f1e0b5",100,"2020-11-21T15:51:32.000Z"
584,65537,2,1605953602,1,"f1e0b5",100,"2020-11-21T15:52:35.000Z"
585,65538,2,1605954823,1,"f1e0b5",100,"2020-11-21T15:52:36.000Z"
586,65549,2,1605953576,1,"f1e0b5",100,"2020-11-21T15:52:36.000Z"
